id,generic_name,brand_names,dosage_form,strength,notification_number,notification_date,ban_reason,source_pdf,date_added
6318,Fixed Dose Combinations Of Vitamins With Anti-inflammatory,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.418666+05:30
6319,Fixed Dose Combinations Of Atropine In Analgesics And,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.419392+05:30
6321,F Ixed Dose Combinations Of Yohimbine And Strychnine With,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.420491+05:30
6322,"Fixed Dose Combinations Of Iron With Strychnine, Arsenic And",,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.421199+05:30
6323,Fixed Dose Combinations Of Sodium Bromide/chloral Hydrate,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.421886+05:30
6325,Fixed Dose Combinations Of Antihistaminic With Anti-,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.423252+05:30
6328,Fixed Dose Combinations Of Any Other Tetracycline With,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.425341+05:30
6329,Fixed Dose Combinations Of Hydroxyquinoline Group Of Drugs Substituted,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.426003+05:30
6330,Fixed Dose Combinations Of Corticosteroids With Any Other Substituted,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.426659+05:30
6331,Fixed Dose Combinations Of Chloramphenicol With Any Other Substituted,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.427317+05:30
6332,Fixed Dose Combinations Of Crude Ergot Preparations Except Substituted,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.427965+05:30
6333,Fixed Dose Combinations Of Vitamins With Anti Tb Drugs,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.428653+05:30
6334,Penicillin Skin/eye,,Ointment,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.429601+05:30
6343,Fixed Dose Combination Of Oestrogen And Progestin Other Substituted,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.435841+05:30
6344,Fixed Dose Combination Of Sedatives/ Hypnotics/anxiolytics,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.436558+05:30
6345,"Fixed Dose Combination Of Rifanpicin, Isoniazid And Substituted",,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.437223+05:30
6346,Fixed Dose Combination Of Histamine H-2 Receptor Antagonists,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.437875+05:30
6347,The Patent And Proprietary Medicines Of Fixed Dose,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.438675+05:30
6348,All Pharmaceutical Preparations Containing Chloroform,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.439391+05:30
6349,Fixed Dose Combination Of Ethambutol With Inh Other Than,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.440071+05:30
6350,Fixed Dose Combination Containing More Than One,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.440740+05:30
6351,Fixed Dose Combination Of Any Anthelmintic With,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.441407+05:30
6352,Fixed Dose Combination Of Salbutamol Or Any Other Substituted,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.442085+05:30
6353,Fixed Dose Combination Of Laxatives And/or Anti-spasmodic,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.442789+05:30
6354,Fixed Dose Combination Of Metoclopramide With Systemically Substituted,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.443452+05:30
6355,"Fixed Dose Combination Of Centrally Acting, Antitussive With",,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.444117+05:30
6356,Preparations Claiming To Combat Cough Associated With,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.444774+05:30
6357,Liquid Oral Tonic Preparations Containing Glycerophosphates,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.445432+05:30
6358,Fixed Dose Combination Containing Pectin And/or Kaolin With,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.446107+05:30
6360,Dovers I.p,,Powder,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.447466+05:30
6361,Dover’s Tablets I.p,,Powder,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.448160+05:30
6362,Antidiarrhoeal Formulations Containing Kaolin Or Pectin Or,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.448830+05:30
6363,Antidiarrhoeal Formulations Containing,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.449479+05:30
6364,Antidiarrhoeal Formulations Containing Neomycin Or,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.450129+05:30
6365,Liquid Oral Antidiarrhoeals Or Any Other Dosage Form For,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.451540+05:30
6367,Patent And Proprietary Oral Rehydration Salts Other Than,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.452744+05:30
6368,Fixed Dose Combination Of Oxyphenbutazone Or,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.453572+05:30
6370,Fixed Dose Combination Of Dextropropoxyphene With Any Other,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.455059+05:30
6371,"Fixed Dose Combination Of A Drug, Standards Of Which Are",,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.455761+05:30
6372,Mepacrine Hydrochloride Quinacrine And Its Salts In Any,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.456448+05:30
6375,Fixed Dose Combination Of Diazepam And Diphenhydramine,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.458552+05:30
6376,Cosmetics Licensed As Toothpaste/tooth Containing,,Powder,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.459267+05:30
6377,Parenteal Preparations Fixed Combination Of Streptomycin With,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.460022+05:30
6378,Fixed Dose Combination Of Vitamin B1vitamin B6 And Vitamin,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.460698+05:30
6379,Fixed Dose Combination Of Haemoglobin In Any Form Natural,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.461384+05:30
6380,Fixed Dose Combination Of Pancreatin Or Pancrelipase,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.462072+05:30
6382,Fixed Dose Combination Of Phenobarbitone With Any Anti-,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.463446+05:30
6383,Fixed Dose Combination Of Phenobarbitone With Hyoscin,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.464129+05:30
6384,Fixed Dose Combination Of Phenobarbitone With Ergotamine,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.464894+05:30
6385,Fixed Dose Combination Of Haloperidol With Any Anti-,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.465579+05:30
6386,Fixed Dose Combination Of Nalidixic Acid With Any Anti-,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.466258+05:30
6387,Fixed Dose Combination Of Loperamide Hydrochloride With,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.466907+05:30
6388,Fixed Dose Combination Of Cyproheptadine With Lysine Or,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.467517+05:30
6391,Phenformin,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.469263+05:30
6392,Rofecoxib And Its Formulations,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.469893+05:30
6393,Valdecoxib And Its Formulations,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.470517+05:30
6394,Diclofenac And Its Formulations For Animal Use,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.471098+05:30
6397,Nimesulide Formulations For Human Use In Children Below 12,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.472855+05:30
6399,*,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.474025+05:30
6400,Human Placental Extract And Its Formulations For Human Use Substituted,,,,G.S.R. 432(E),2013-06-18,,cdsco_banned_drugs_list.pdf,2026-07-03 10:27:09.474611+05:30
