id,generic_name,brand_names,dosage_form,strength,notification_number,notification_date,ban_reason,source_pdf,date_added
1,Amidopyrine,,,,G.S.R. 578(E),1983-07-23,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.224329+05:30
2,Fixed Dose Combinations Of Vitamins With Anti- Inflammatory Agents And Tranquilizers,,,,G.S.R. 578(E),1983-07-23,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.226046+05:30
3,Fixed Dose Combinations Of Atropine In Analgesics And Antipyretics,,,,G.S.R. 578(E),1983-07-23,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.227128+05:30
4,Fixed Dose Combinations Of Strychnine And Caffeine In Tonics,,,,G.S.R. 578(E),1983-07-23,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.228031+05:30
5,Fixed Dose Combinations Of Yohimbine And Strychnine With Testosterone And Vitamins,,,,G.S.R. 578(E),1983-07-23,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.229056+05:30
6,"Fixed Dose Combinations Of Iron With Strychnine, Arsenic And Yohimbine",,,,G.S.R. 578(E),1983-07-23,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.230068+05:30
7,Fixed Dose Combinations Of Sodium Bromide/chloral Hydrate With Other Drugs,,,,G.S.R. 578(E),1983-07-23,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.231120+05:30
8,Phenacetin,,,,G.S.R. 578(E),1983-07-23,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.232243+05:30
9,Fixed Dose Combinations Of Antihistaminic With Anti-diarrhoeals,,,,G.S.R. 578(E),1983-07-23,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.233308+05:30
10,Fixed Dose Combinations Of Penicillin With Sulphonamides,,,,G.S.R. 578(E),1983-07-23,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.234415+05:30
11,Fixed Dose Combinations Of Vitamins With Analgesics,,,,G.S.R. 578(E),1983-07-23,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.235421+05:30
12,Fixed Dose Combinations Of Any Other Tetracycline With Vitamin C,,,,G.S.R. 578(E),1983-07-23,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.236342+05:30
13,Fixed Dose Combinations Of Hydroxyquinoline Group Of Drugs With Any Other Drug Except For Preparations Meant For External Use,,,,G.S.R. 793(E),1995-12-13,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.237229+05:30
14,Fixed Dose Combinations Of Chloramphenicol With Any Other Drug For Internal Use,,,,G.S.R. 1057(E),1988-11-03,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.238226+05:30
15,"Fixed Dose Combinations Of Crude Ergot Preparations Except Those Containing Ergotamine, Caffeine, Analgesics, Antihistamines For The Treatment Of Migraine, Headache",,,,G.S.R. 304(E),1991-06-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.239295+05:30
16,Fixed Dose Combinations Of Vitamins With Anti Tb Drugs Except Combination Of Isoniazid With Pyridoxine Hydrochloride (vitamin B6),,,,G.S.R. 578(E),1983-07-23,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.240332+05:30
17,Penicillin Skin/eye Ointment,,,,G.S.R. 578(E),1983-07-23,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.241406+05:30
18,Tetracycline Liquid Oral Preparations,,,,G.S.R. 578(E),1983-07-23,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.242377+05:30
19,Nialamide,,,,G.S.R. 578(E),1983-07-23,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.243362+05:30
20,Practolol,,,,G.S.R. 578(E),1983-07-23,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.244403+05:30
21,"Methapyrilene, Its Salts",,,,G.S.R. 578(E),1983-07-03,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.245373+05:30
22,Methaqualone,,,,G.S.R. 49(E),1984-01-31,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.246338+05:30
23,Oxytetracycline Liquid Oral Preparations,,,,G.S.R. 322(E),1984-05-03,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.247202+05:30
24,Demeclocycline Liquid Oral Preparations,,,,G.S.R. 322(E),1984-05-03,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.248034+05:30
25,Combination Of Anabolic Steroids With Other Drugs,,,,G.S.R. 863(E),1985-11-22,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.248938+05:30
26,Fixed Dose Combination Of Oestrogen And Progestin (other Than Oral Contraceptive) Containing Per Tablet Estrogen Content Of More Than 50mcg (equivalent To Ethinyl Estradiol) And Content Of More Than 3 Mg (equivalent To Norethisterone Acetate) And All Fixed Dose Combination Injectable Preparations Containing Synthetic Oestrogen And Progesterone,,,,G.S.R. 743(E),1989-08-10,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.249994+05:30
27,Fixed Dose Combination Of Sedatives/hypnotics/anxiolytics With Analgesics-antipyretics,,,,G.S.R. 999(E),,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.251027+05:30
28,"Fixed Dose Combination Of Rifampicin, Isoniazid And Pyrazinamide, Except Those Which Provide Daily Adult Dose Given Below:drugs Minimum Maximumrifampicin 450mg 600mgisoniazid 300mg 400mgpyrazinamide 1000mg 1500mg",,,,G.S.R. 100(E),2003-02-11,,vaayath.com,2026-07-03 10:31:46.252037+05:30
29,"Fixed Dose Combination Of Histamine H-2 Receptor Antagonists With Antacids Except For Those Combinations Approved By Drugs Controller, India",,,,G.S.R. 999(E),1990-12-26,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.253070+05:30
30,The Patent And Proprietary Medicines Of Fixed Dose Combinations Of Essential Oils With Alcohol Having Percentage Higher Than 20% Proof Except Preparations Given In The Indian Pharmacopoeia,,,,G.S.R. 999(E),1990-12-26,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.254090+05:30
31,All Pharmaceutical Preparations Containing Chloroform Exceeding 0.5%w/w Or V/v Whichever Is Appropriate,,,,G.S.R. 999(E),1990-12-26,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.255107+05:30
32,Fixed Dose Combination Of Ethambutol With Inh Other Than The Following: Inh Ethambutol 200mg. 600mg. 300mg. 800mg,,,,G.S.R. 69(E),1991-02-11,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.256107+05:30
33,Fixed Dose Combination Containing More Than One Antihistamine,,,,G.S.R. 69(E),1991-02-11,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.257110+05:30
34,Fixed Dose Combination Of Any Anthelmintic With Cathartic/purgative Except For Piperazine/santonin,,,,G.S.R. 69(E),1991-02-11,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.258100+05:30
35,Fixed Dose Combination Of Salbutamol Or Any Other Bronchodilator With Centrally Acting Anti-tussive And/or Antihistamine,,,,G.S.R. 290(E),2008-04-06,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.259131+05:30
36,Fixed Dose Combination Of Laxatives And/or Anti-spasmodic Drugs In Enzyme Preparations,,,,G.S.R. 69(E),1991-02-11,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.260135+05:30
37,Fixed Dose Combination Of Metoclopramide With Systemically Absorbed Drugs Except Fixed Dose Combination Of Metoclopramide With Aspirin/paracetamol,,,,G.S.R. 603(E),2001-08-04,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.261153+05:30
38,"Fixed Dose Combination Of Centrally Acting, Antitussive With Antihistamine, Having High Atropine Like Activity In Expectorants",,,,G.S.R. 395(E),1999-05-19,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.262165+05:30
39,Preparations Claiming To Combat Cough Associated With Asthma Containing Centrally Acting Antitussive And/or An Antihistamine,,,,G.S.R. 395(E),1999-05-19,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.263155+05:30
40,Liquid Oral Tonic Preparations Containing Glycerophosphates And/or Other Phosphates And/or Central Nervous System Stimulant And Such Preparations Containing Alcohol More Than 20% Proof,,,,G.S.R. 395(E),1999-05-19,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.264154+05:30
41,Fixed Dose Combination Containing Pectin And/or Kaolin With Any Drug Which Is Systemically Absorbed From Gi Tract Except For Combinations Of Pectin And/or Kaolin With Drugs Not Systemically Absorbed,,,,G.S.R. 395(E),1999-05-19,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.265157+05:30
42,Chloral Hydrate As A Drug,,,,G.S.R. 304(E),1991-06-07,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.266187+05:30
43,Dovers Powder I.p,,,,G.S.R. 612(E),1994-08-09,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.267149+05:30
44,Dover’s Powder Tablets I.p,,,,G.S.R. 612(E),1994-08-09,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.268117+05:30
45,Antidiarrhoeal Formulations Containing Kaolin Or Pectin Or Attapulgite Or Activated Charcoal,,,,G.S.R. 731(E),1994-09-30,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.269114+05:30
46,Antidiarrhoeal Formulations Containing Phthalyl Sulphathiazole Or Sulphaguanidine Or Succinyl Sulphathiazole,,,,G.S.R. 731(E),,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.270117+05:30
47,Antidiarrhoeal Formulations Containing Neomycin Or Streptomycin Or Dihydrostreptomycin Including Their Respective Salts Or Esters,,,,G.S.R. 731(E),,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.271257+05:30
48,Liquid Oral Antidiarrhoeals Or Any Other Dosage Form For Pediatric Use Containing Diphenoxylate L Or Loperamide Or Atropine Or Belladona Including Their Salts Or Esters Or Metabolites Hyoscyamine Or Their Extracts Or Their Alkaloids,,,,G.S.R. 731(E),,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.272277+05:30
49,Liquid Oral Antidiarrhoeals Or Any Other Dosage Form For Pediatric Use Containing Halogenated Hydroxyquinolines,,,,G.S.R. 731(E),,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.273265+05:30
50,Fixed Dose Combination Of Antidiarrhoeals With Electrolytes,,,,G.S.R. 731(E),1994-09-30,,"vaayath.com, thehealthmaster.com",2026-07-03 10:31:46.274248+05:30
